cycle_n,0-R1,0-R10,0-R11,0-R12,0-R13,0-R14,0-R15,0-R16,0-R17,0-R18,0-R19,0-R2,0-R20,0-R3,0-R4,0-R5,0-R6,0-R7,0-R8,0-R9,31-R1,31-R10,31-R11,31-R12,31-R13,31-R14,31-R15,31-R16,31-R17,31-R18,31-R19,31-R2,31-R20,31-R3,31-R4,31-R5,31-R6,31-R7,31-R8,31-R9,time_s
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.009
5,1.0091194968553459,1.0140082776185928,1.0058027079303675,1.006777572396796,1.0101572739187419,1.0200138026224983,1.0153435623749165,1.0192857142857144,1.0159744408945688,1.013408609738885,1.01315295001879,1.0170994300189993,1.0211502782931354,1.0119558553034949,1.0110633066994468,1.0182663566921288,1.0117493472584855,1.022661985317587,1.020221787345075,1.0221589110478,1.0169325952458483,1.015032679738562,1.0140752864157119,1.0328022492970947,1.0143333333333333,1.0116588940706195,1.0162052667116812,1.0187905705500513,1.0144977562996202,1.0094770094770096,1.0189228529839884,1.0207156308851224,1.0184979652238253,0.9568685376661743,1.0209375,1.0147058823529411,1.0170723996206132,1.0249440358170772,1.0212765957446808,1.0257001647446458,480.013
6,1.0323899371069183,1.0372492836676217,1.0212765957446808,1.0283425754775108,1.0334207077326343,1.0486542443064182,1.043695797198132,1.0457142857142858,1.0333688320908767,1.0405786873676781,1.0424652386320932,1.0357821405953136,1.0437847866419294,1.0275904353157572,1.0307314074984635,1.0318830953171705,1.0319843342036554,1.04149377593361,1.042726679712981,1.0455840455840455,1.0433083686095734,1.0408496732026145,1.0409165302782324,1.0546704154951578,1.037,1.0329780146568954,1.0442268737339635,1.047147249743765,1.04280289955126,1.0238680238680238,1.039301310043668,1.0364092906465787,1.0469848316685164,0.9757754800590842,1.0409375,1.0393222506393862,1.0373063547265255,1.0473297089862488,1.0485372340425532,1.0527182866556837,600.016
7,1.0518867924528301,1.0598535498248964,1.0473887814313345,1.0606900800985828,1.0540629095674967,1.0766045548654244,1.0753835890593728,1.0678571428571428,1.058217962371317,1.0578687367678192,1.0650131529500189,1.0573147561747942,1.073469387755102,1.0582464745554874,1.0543945912722803,1.0534706077715046,1.052219321148825,1.068305138844558,1.073385518590998,1.0734409623298513,1.0745685444480626,1.0637254901960784,1.0703764320785598,1.0805998125585754,1.0616666666666668,1.0629580279813458,1.074611748818366,1.0727707550392893,1.0669658267172937,1.0498420498420498,1.0658660844250365,1.064030131826742,1.0688124306326303,1.0,1.0671875,1.0585038363171355,1.071451153967752,1.078349856092101,1.0787898936170213,1.0800658978583195,720.02
8,1.0820754716981131,1.0830945558739256,1.0705996131528046,1.0890326555760936,1.084862385321101,1.10904071773637,1.1064042695130087,1.1007142857142858,1.0795172168974085,1.081863091037403,1.0898158586997369,1.0940468651044966,1.0990723562152134,1.0809319435928877,1.0826674861708667,1.0830288940551311,1.0825718015665797,1.101500159591446,1.1030658838878018,1.104463437796771,1.112666883751221,1.100653594771242,1.1063829787234043,1.0787253983130272,1.0943333333333334,1.102931379080613,1.114787305874409,1.1014690809702767,1.0969968933379357,1.0817830817830818,1.0931586608442503,1.1004394224733207,1.099889012208657,1.03397341211226,1.098125,1.0872762148337596,1.1062282643060386,1.1208826351135273,1.116688829787234,1.1192751235584844,840.025
9,1.1154088050314466,1.1203438395415473,1.1041263700838169,1.12969808995687,1.114678899082569,1.1469979296066253,1.1440960640426951,1.1228571428571428,1.1178558750443734,1.1069160197600565,1.1183765501691094,1.1269791006966434,1.1302411873840446,1.1140404659717964,1.1223110018438844,1.1155762205247426,1.1204308093994777,1.1436323013086498,1.1435094585779517,1.143716365938588,1.158905893845653,1.1372549019607843,1.1525368248772505,1.1155888784754764,1.1336666666666666,1.1389073950699533,1.1471978392977717,1.134267167748548,1.1315153607179842,1.113022113022113,1.1302765647743813,1.1412429378531073,1.1339252682204957,1.072082717872969,1.1384375,1.126918158567775,1.1485931078090421,1.1624560281419891,1.163563829787234,1.1627677100494234,960.029
10,1.1616352201257862,1.1595033428844317,1.1479690522243713,1.1728280961182995,1.162516382699869,1.1963423050379571,1.1894596397598398,1.1635714285714285,1.1498047568335108,1.1407904022582922,1.1548290116497557,1.1728942368587714,1.1647495361781075,1.152053954629062,1.163183773816841,1.1574227831285286,1.162532637075718,1.1889562719438238,1.1842791911285062,1.1915163026274138,1.2097036795831977,1.1826797385620915,1.2013093289689034,1.1636988441112153,1.185,1.1888740839440373,1.1954760297096556,1.175264776221387,1.1691404901622369,1.144963144963145,1.1601164483260553,1.1876961707470182,1.1694413614502406,1.1155096011816839,1.1815625,1.1726342710997442,1.199810306670882,1.2190598017268948,1.2144281914893618,1.2112026359143329,1080.033
11,1.2088050314465408,1.1977077363896849,1.1947130883301096,1.2276648182378311,1.2044560943643512,1.2449965493443755,1.2404936624416278,1.1967857142857143,1.1884984025559104,1.1729004940014114,1.1995490417136414,1.221342621912603,1.206307977736549,1.199877375843041,1.2138905961893054,1.2035868482231817,1.2072454308093994,1.2400255346313438,1.2345075016307894,1.2437480215257992,1.267665255617063,1.2375816993464053,1.260556464811784,1.2127460168697282,1.2406666666666666,1.239173884077282,1.2548953409858203,1.2179706183805945,1.2095270969968934,1.1891891891891893,1.197962154294032,1.2451349654739485,1.2149463559008509,1.1642540620384048,1.2359375,1.213235294117647,1.253872905469491,1.2785417332906939,1.274933510638298,1.2655683690280066,1200.036
12,1.259433962264151,1.2454632282712512,1.239845261121857,1.2846580406654344,1.258519003931848,1.3026224982746721,1.2935290193462308,1.235,1.2378416755413562,1.2085391672547636,1.236001503194288,1.2834072197593414,1.2515769944341373,1.2544451256897609,1.2682851874615857,1.2534041846562605,1.254242819843342,1.3054580274497287,1.2961513372472278,1.3029439696106362,1.3380006512536633,1.3032679738562092,1.3224222585924714,1.2789753202124337,1.3023333333333333,1.3027981345769486,1.3156650911546253,1.265459514861633,1.257852951328961,1.2285012285012284,1.2456331877729259,1.3132454488386691,1.2648908620051795,1.2268833087149187,1.2971875,1.278772378516624,1.3224786595004743,1.3504956827630317,1.3454122340425532,1.3360790774299836,1320.039
13,1.3216981132075472,1.2989493791786055,1.3023855577047065,1.3493530499075785,1.3181520314547837,1.3692201518288474,1.3492328218812542,1.2792857142857144,1.2850550230741924,1.251940719830628,1.2769635475385193,1.343571880937302,1.2897959183673469,1.3175965665236051,1.326060233558697,1.3072069080039854,1.3123368146214098,1.3708905202681136,1.3564905414220483,1.3665716999050332,1.402474763920547,1.3637254901960785,1.388543371522095,1.3420805998125587,1.367,1.3650899400399734,1.3808237677245105,1.3139733515544927,1.3061788056610286,1.2860652860652861,1.294759825327511,1.3788449466415569,1.3115057343692194,1.292762186115214,1.36125,1.3427109974424551,1.3879228580461587,1.4262871762072273,1.418218085106383,1.4042833607907743,1440.042
